experiment,dataset,seed,split_id,selection_data_id,code_version,classifier_refit,final_calibration_used_for_selection,final_test_used_for_selection,model,method,target_size,n_features,ranking_source,selection_seed,repetition,subset_frozen_before_final_calibration,phase8_primary_selected,tuning_n_removed,tuning_max_accuracy_loss,tuning_max_coverage_shortfall,tuning_efficiency_gain,tuning_conditional_violation,alpha,scaling,score,raps_lambda,raps_k_reg,subject_id,window_count,accuracy,coverage,mean_size,size_p90,all_features_accuracy,all_features_coverage,all_features_mean_size,all_features_size_p90,accuracy_difference_vs_all,coverage_difference_vs_all,mean_size_difference_vs_all,size_p90_difference_vs_all,mean_size_reduction_vs_all
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0214059495532179,0.0058732043886438,0.0334325868114466,0.101011937673761,0.1,base,aps,,,3,341,0.9824046920821116,0.8914956011730205,0.935483870967742,1.0,0.9853372434017597,0.8973607038123167,0.935483870967742,1.0,-0.002932551319648,-0.0058651026392961,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0214059495532179,0.0058732043886438,0.0334325868114466,0.101011937673761,0.1,base,aps,,,7,308,0.9448051948051948,0.9253246753246752,1.0,1.0,0.9512987012987012,0.935064935064935,1.0162337662337662,1.0,-0.0064935064935065,-0.0097402597402597,-0.0162337662337661,0.0,0.0162337662337661
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0214059495532179,0.0058732043886438,0.0334325868114466,0.101011937673761,0.1,base,aps,,,14,323,0.8173374613003096,0.7956656346749226,1.0371517027863777,1.0,0.8142414860681114,0.8018575851393189,1.0526315789473684,2.0,0.0030959752321981,-0.0061919504643963,-0.0154798761609906,-1.0,0.0154798761609906
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0214059495532179,0.0058732043886438,0.0334325868114466,0.101011937673761,0.1,base,aps,,,19,360,0.9527777777777776,0.9222222222222224,1.0027777777777778,1.0,0.9416666666666668,0.9277777777777778,1.0166666666666666,1.0,0.011111111111111,-0.0055555555555555,-0.0138888888888888,0.0,0.0138888888888888
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0214059495532179,0.0058732043886438,0.0334325868114466,0.101011937673761,0.1,base,aps,,,23,372,0.9516129032258064,0.9086021505376344,0.9704301075268816,1.0,0.9596774193548387,0.9193548387096774,0.9811827956989247,1.0,-0.0080645161290322,-0.010752688172043,-0.010752688172043,0.0,0.010752688172043
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,small_neural_network,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,3,341,0.9882697947214076,0.9032258064516128,0.93841642228739,1.0,0.9882697947214076,0.9032258064516128,0.93841642228739,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,small_neural_network,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,7,308,0.948051948051948,0.935064935064935,1.0324675324675323,1.0,0.948051948051948,0.935064935064935,1.0324675324675323,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,small_neural_network,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,14,323,0.7987616099071208,0.804953560371517,1.0773993808049536,2.0,0.7987616099071208,0.804953560371517,1.0773993808049536,2.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,small_neural_network,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,19,360,0.9111111111111112,0.9,1.0277777777777777,1.0,0.9111111111111112,0.9,1.0277777777777777,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,small_neural_network,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,23,372,0.956989247311828,0.9166666666666666,1.0080645161290325,1.0,0.956989247311828,0.9166666666666666,1.0080645161290325,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,small_neural_network,conformal_harm_one_shot,560,560,selection_train+tune_crossfit,44,-1,True,True,1.0,-0.0142744033480375,0.0046996946046827,0.0506826150887907,0.1106250436076935,0.1,base,aps,,,3,341,0.9853372434017597,0.9090909090909092,0.9442815249266864,1.0,0.9882697947214076,0.9032258064516128,0.93841642228739,1.0,-0.002932551319648,0.0058651026392961,0.0058651026392961,0.0,-0.0058651026392961
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,small_neural_network,conformal_harm_one_shot,560,560,selection_train+tune_crossfit,44,-1,True,True,1.0,-0.0142744033480375,0.0046996946046827,0.0506826150887907,0.1106250436076935,0.1,base,aps,,,7,308,0.948051948051948,0.9285714285714286,1.0357142857142858,1.0,0.948051948051948,0.935064935064935,1.0324675324675323,1.0,0.0,-0.0064935064935064,0.0032467532467532,0.0,-0.0032467532467532
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,small_neural_network,conformal_harm_one_shot,560,560,selection_train+tune_crossfit,44,-1,True,True,1.0,-0.0142744033480375,0.0046996946046827,0.0506826150887907,0.1106250436076935,0.1,base,aps,,,14,323,0.8018575851393189,0.8018575851393189,1.0526315789473684,1.0,0.7987616099071208,0.804953560371517,1.0773993808049536,2.0,0.0030959752321981,-0.003095975232198,-0.0247678018575852,-1.0,0.0247678018575852
